137197159_841872006	ПЕНОПЛЭКС КОМФОРТ экструдированный пенополистирол (XPS) 118.5х 58.5 см, толщина 20 мм	ПЕНОПЛЭКС	15500	2
104418465_405822811	Эксперт бур 610-110-04 SDS-plus 1 шт	Эксперт	440	1
104185676_973949832	Эксперт 14723-04-050-02 2 шт	Эксперт	720	1
109790032_677892436	Эксперт бита 14722-02-100-01 1 шт	Эксперт	1200	1
101602461_765420058	Герметик Akfix 100Е универсальный, цвет коричневый 280 мл	akfix	1890	24
104400814_249984122	Шпатель зубчатый Эксперт 150 мм, нержавеющая сталь арт. 3215	Эксперт	410	1
121341682_349165780	Дисковая пила Tulex TULEX TS-190-1.6, электрическая	Tulex	26700	1
124332185_830797164	Tulex шлифовальная лента в рулоне P180 (5000х100 мм), 1 шт	Tulex	990	1
106133752_903695447	Кисть плоская (КП) Эксперт 20 мм, 1 шт. арт.14020	Эксперт	280	12
119896226_799262935	Коронка Tulex 60113-38 алмазная D 38 мм, 1 шт	Tulex	3010	1
108601663_865319346	Akfix краска Spray Paint железно-серый 400 мл	akfix	1950	6
101246718_029492634	PUFAS концентрат-колер, 18 оранжевый, 20 мл	PUFAS	1990	10
146397871_411557804	ExProfil дюбель-нагель монтажный, универсальный 8х60 мм, 100 шт	ExProfil	1750	20
106169959_567484796	Кисть плоская (КП) Эксперт 100 мм, 1 шт. арт.12100	Эксперт	2200	12
101246721_195800000	PUFAS концентрат-колер, 13 травянисто-зеленый, 20 мл	PUFAS	1990	10
124332243_379154350	Tulex набор отверток диэлектрическая 5020121-S8 набор из 8	Tulex	4900	1
101601939_091674658	Akfix пена 872 MEGA PROFESSIONAL, 850 мл 1 шт	akfix	2800	11
118449024_917573496	Стержень-удлинитель Tulex 2002003 1 шт	tulex	2800	2
148241270_493173215	Эксперт рулетка строительная, бытовая 7575, 7.5 м х 25 мм	Эксперт	3100	1
109330067_423190116	Шпатель фасадный Эксперт 300 мм, нержавеющая сталь арт. 3130	Эксперт	1150	1
110074419_579315836	Коронка Эксперт 1425-08 1 шт	Эксперт	900	1
152630428_637893442	Шлифовальный круг Tulex 125 мм, абразивный материал Р320, 5 шт. арт. 85201-125-320	Tulex	355	1
